module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmm,4-implementation,QA Automation Test,QA,45,_evo/bmm/workflows/qa-generate-e2e-tests/workflow.md,evo-bmm-qa-automate,false,qa,evo:more direct approach than the advanced Test Architect module.:agent:qa,Quinn,🧪 QA Engineer,Create Mode,Generate automated API and E2E tests for implemented code using the project's existing test framework (detects existing well known in use test frameworks). Use after implementation to add test coverage. NOT for code review or story validation - use CR for that.,implementation_artifacts,test suite
bmm,4-implementation,Code Review,CR,50,_evo/bmm/workflows/4-implementation/code-review/workflow.md,evo-bmm-code-review,false,dev,evo:all precision.:agent:dev,Amelia,💻 Developer Agent,Create Mode,Story cycle: If issues back to DS if approved then next CS or ER if epic complete,,
bmm,4-implementation,Retrospective,ER,60,_evo/bmm/workflows/4-implementation/retrospective/workflow.md,evo-bmm-retrospective,false,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC,implementation_artifacts,retrospective
bmm,anytime,Set Feature,SF,,_evo/bmm/workflows/set-feature/workflow.md,evo-bmm-set-feature,false,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,,Set or switch the active feature context for artifact subfolder organization,,
bmm,anytime,Document Project,DP,,_evo/bmm/workflows/document-project/workflow.md,evo-bmm-document-project,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,Analyze an existing project to produce useful documentation,project-knowledge,*
bmm,anytime,Generate Project Context,GPC,,_evo/bmm/workflows/generate-project-context/workflow.md,evo-bmm-generate-project-context,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,Scan existing codebase to generate a lean LLM-optimized project-context.md containing critical implementation rules patterns and conventions for AI agents. Essential for brownfield projects and quick-flow.,output_folder,project context
bmm,anytime,Quick Spec,QS,,_evo/bmm/workflows/evo-quick-flow/quick-spec/workflow.md,evo-bmm-quick-spec,false,quick-flow-solo-dev,evo:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the evo method. Quick one-off tasks small changes simple apps brownfield additions to well established patterns utilities without extensive planning,planning_artifacts,tech spec
bmm,anytime,Quick Dev,QD,,_evo/bmm/workflows/evo-quick-flow/quick-dev/workflow.md,evo-bmm-quick-dev,false,quick-flow-solo-dev,evo:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,"Quick one-off tasks small changes simple apps utilities without extensive planning - Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the evo method, unless the user is already working through the implementation phase and just requests a 1 off things not already in the plan",,
bmm,anytime,Quick Dev New Preview,QQ,,skill:evo-quick-dev-new-preview,evo-bmm-quick-dev-new-preview,false,quick-flow-solo-dev,evo:ruthless efficiency.:agent:quick-flow-solo-dev,Barry,🚀 Quick Flow Solo Dev,Create Mode,Unified quick flow (experimental): clarify intent plan implement review and present in a single workflow,implementation_artifacts,tech spec implementation
bmm,anytime,Correct Course,CC,,_evo/bmm/workflows/4-implementation/correct-course/workflow.md,evo-bmm-correct-course,false,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,Anytime: Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories,planning_artifacts,change proposal
bmm,anytime,Write Document,WD,,_evo/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,evo:DITA:agent:tech-writer,Paige,📚 Technical Writer,,"Describe in detail what you want, and the agent will follow the documentation best practices defined in agent memory. Multi-turn conversation with subprocess for research/review.",project-knowledge,document
bmm,anytime,Update Standards,US,,_evo/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,evo:DITA:agent:tech-writer,Paige,📚 Technical Writer,,Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.,_evo/_memory/tech-writer-sidecar,standards
bmm,anytime,Mermaid Generate,MG,,_evo/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,evo:DITA:agent:tech-writer,Paige,📚 Technical Writer,,Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.,planning_artifacts,mermaid diagram
bmm,anytime,Validate Document,VD,,_evo/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,evo:DITA:agent:tech-writer,Paige,📚 Technical Writer,,Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.,planning_artifacts,validation report
bmm,anytime,Explain Concept,EC,,_evo/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,evo:DITA:agent:tech-writer,Paige,📚 Technical Writer,,Create clear technical explanations with examples and diagrams for complex concepts. Breaks down into digestible sections using task-oriented approach.,project_knowledge,explanation
core,anytime,Brainstorming,BSP,,_evo/core/workflows/brainstorming/workflow.md,evo-brainstorming,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,,Generate diverse ideas through interactive techniques. Use early in ideation phase or when stuck generating ideas.,{output_folder}/brainstorming/brainstorming-session-{{date}}.md,
core,anytime,Party Mode,PM,,_evo/core/workflows/party-mode/workflow.md,evo-party-mode,false,party-mode facilitator,,,,,Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.,,
core,anytime,evo-help,BH,,_evo/core/tasks/help.md,evo-help,false,,,,,,Get unstuck by showing what workflow steps come next or answering EVO Method questions.,,
core,anytime,Index Docs,ID,,_evo/core/tasks/index-docs.xml,evo-index-docs,false,,,,,,Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.,,
core,anytime,Shard Document,SD,,_evo/core/tasks/shard-doc.xml,evo-shard-doc,false,,,,,,Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.,,
core,anytime,Editorial Review - Prose,EP,,_evo/core/tasks/editorial-review-prose.xml,evo-editorial-review-prose,false,,,,,,"Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.",report located with target document,three-column markdown table with suggested fixes
core,anytime,Editorial Review - Structure,ES,,_evo/core/tasks/editorial-review-structure.xml,evo-editorial-review-structure,false,,,,,,"Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.",report located with target document,
core,anytime,Adversarial Review (General),AR,,skill:evo-review-adversarial-general,evo-review-adversarial-general,false,,,,,,"Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews",,
core,anytime,Edge Case Hunter Review,ECH,,skill:evo-review-edge-case-hunter,evo-review-edge-case-hunter,false,,,,,,"Walk every branching path and boundary condition in code, report only unhandled edge cases. Use alongside adversarial review for orthogonal coverage - method-driven not attitude-driven.",,
